id,value,emotion
lavare,10,gioia
distrarre,10,tristezza
affondare,15,paura
fuggire,20,paura
incontrare,40,fiducia
danzare,15,gioia
seguire,49,gioia
rivedere,20,fiducia
osservare,11,sorpresa
rinunciare,10,gioia
togliere,22,fiducia
decidere,34,rabbia
temere,11,fiducia
pregare,14,gioia
ricominciare,19,fiducia
sorprendere,12,sorpresa
comprendere,15,rabbia
mancare,46,fiducia
usare,28,fiducia
partire,56,gioia
viaggiare,12,fiducia
raccontare,37,gioia
correre,72,gioia
sperare,45,fiducia
porre,12,fiducia
ragionare,10,fiducia
divergere,17,gioia
sedere,45,tristezza
appendere,14,paura
camminare,51,paura
coprire,21,rabbia
stendere,20,paura
importare,23,fiducia
distruggere,11,paura
riempire,21,gioia
parere,18,fiducia
sussurrare,13,paura
rinchiudere,10,rabbia
sopportare,17,rabbia
porgere,28,fiducia
vergognarsi,11,rabbia
tremare,23,paura
inseguire,14,paura
accompagnare,18,gioia
immaginare,31,fiducia
sprecare,11,fiducia
iniziare,11,rabbia
durare,19,gioia
baciare,22,gioia
tentare,11,rabbia
sospendere,13,paura
perdonare,14,rabbia
rifare,14,fiducia
vuoi,14,rabbia
insegnare,18,fiducia
spostare,12,fiducia
spingere,28,gioia
bere,42,gioia
asciugare,17,paura
fumare,23,gioia
comprare,26,fiducia
disegnare,10,gioia
trattare,10,fiducia
sparire,14,paura
bucare,10,paura
sudare,10,paura
stancare,15,tristezza
guidare,23,fiducia
brillare,16,sorpresa
disperare,14,paura
rincorrere,11,gioia
raccogliere,18,gioia
desiderare,12,gioia
giurare,13,fiducia
mentire,12,fiducia
costringere,12,paura
raggiungere,12,gioia
convincere,15,fiducia
risalire,11,fiducia
scusare,11,fiducia
dondolare,10,paura
levare,10,gioia
segnare,14,rabbia
navigare,12,fiducia
spazzare,10,rabbia
rotolare,12,paura
soffocare,10,paura
scomparire,10,paura
convenire,10,fiducia
commuovere,10,sorpresa
spendere,10,fiducia
spaccare,12,rabbia
